0;0;0;0;land;false;unknown;0
1;234;243;244;land;false;plains;1
2;78;241;199;land;false;plains;1
3;236;161;247;land;false;plains;1
4;234;141;133;land;false;plains;1
5;230;198;86;land;true;plains;1
6;154;195;243;land;false;plains;1
7;220;135;173;land;false;plains;1
8;219;195;119;land;false;plains;1
9;83;245;227;land;false;plains;1
10;207;219;201;land;false;plains;1
11;220;120;162;land;false;plains;1
12;207;187;167;land;false;plains;1
13;238;248;230;land;false;plains;1
14;107;232;228;land;false;plains;1
15;166;153;229;land;false;plains;1
16;250;200;238;land;false;plains;1
17;153;250;179;land;false;plains;1
18;191;179;205;land;false;plains;1
19;171;238;144;land;false;plains;1
20;232;224;47;land;false;plains;1
21;165;237;253;land;false;plains;1
22;211;191;117;land;true;plains;1
23;158;213;179;land;false;plains;1
24;235;162;112;land;true;plains;1
25;130;229;195;land;true;plains;1
26;215;119;220;land;false;plains;1
27;148;187;200;land;false;plains;1
28;197;225;163;land;false;hills;1
29;209;225;186;land;false;plains;1
30;91;223;239;land;false;plains;1
31;242;219;229;land;true;plains;1
32;219;174;110;land;false;plains;1
33;207;231;157;land;false;plains;1
34;213;145;251;land;false;plains;1
35;189;247;245;land;false;plains;1
36;172;244;191;land;false;hills;1
37;175;252;213;land;false;plains;1
38;197;148;204;land;false;plains;1
39;230;175;126;land;false;plains;1
40;209;180;200;land;false;plains;1
41;138;180;229;land;false;plains;1
42;162;248;212;land;false;plains;1
43;204;222;84;land;false;urban;1
44;214;252;78;land;false;plains;1
45;200;198;170;land;false;plains;1
46;228;131;152;land;false;plains;1
47;229;245;203;land;false;plains;1
48;241;242;50;land;false;plains;1
49;95;191;243;land;false;plains;1
50;100;187;227;land;false;plains;1
51;211;250;40;land;false;plains;1
52;136;200;166;land;false;plains;1
53;185;141;206;land;false;plains;1
54;221;234;201;land;false;plains;1
55;210;206;192;land;true;plains;1
56;87;231;201;land;true;plains;1
57;244;237;139;land;false;plains;1
58;135;178;197;land;false;plains;1
59;247;106;153;land;false;forest;1
60;254;59;230;land;true;plains;1
61;118;172;242;land;false;plains;1
62;192;212;110;land;false;plains;1
63;127;209;184;land;false;plains;1
64;162;212;176;land;false;plains;1
65;187;242;169;land;false;plains;1
66;167;240;252;land;false;plains;1
67;221;167;192;land;false;plains;1
68;146;244;131;land;false;plains;1
69;230;176;124;land;true;plains;1
70;201;175;254;land;false;plains;1
71;254;202;148;land;false;plains;1
72;242;163;156;land;false;desert;1
73;227;225;150;land;false;forest;1
74;247;213;111;land;false;plains;1
75;211;197;152;land;true;plains;1
76;205;227;71;land;false;plains;1
77;219;231;104;land;false;plains;1
78;152;198;214;land;false;plains;1
79;207;199;188;land;false;plains;1
80;168;254;129;land;false;plains;1
81;241;219;248;land;false;plains;1
82;230;154;174;land;false;forest;1
83;209;113;208;land;false;plains;1
84;243;193;237;land;false;plains;1
85;208;237;107;land;false;plains;1
86;110;239;178;land;false;plains;1
87;124;190;217;land;false;plains;1
88;130;236;198;land;false;plains;1
89;240;204;125;land;false;plains;1
90;154;230;192;land;false;plains;1
91;164;230;161;land;false;plains;1
92;233;238;140;land;false;plains;1
93;244;110;212;land;false;plains;1
94;146;196;223;land;false;plains;1
95;250;248;230;land;false;plains;1
96;220;179;131;land;false;plains;1
97;83;210;232;land;false;plains;1
98;70;251;183;land;false;plains;1
99;237;191;117;land;false;plains;1
100;63;253;226;land;false;plains;1
101;147;238;241;land;false;plains;1
102;106;196;241;land;false;plains;1
103;161;239;243;land;false;plains;1
104;197;121;190;land;false;plains;1
105;192;227;98;land;false;plains;1
106;217;233;250;land;false;plains;1
107;87;222;221;land;false;plains;1
108;226;113;207;land;false;plains;1
109;156;184;198;land;false;plains;1
110;250;181;148;land;false;plains;1
111;245;230;100;land;false;plains;1
112;245;43;229;land;false;plains;1
113;152;176;202;land;true;plains;1
114;153;200;225;land;false;plains;1
115;80;249;227;land;false;plains;1
116;184;143;195;land;false;forest;1
117;206;190;183;land;true;plains;1
118;213;204;243;land;false;plains;1
119;179;228;111;land;false;desert;1
120;193;254;58;land;false;plains;1
121;242;179;238;land;false;plains;1
122;184;160;169;land;false;plains;1
123;209;68;240;land;false;plains;1
124;209;164;196;land;false;plains;1
125;153;224;219;land;true;plains;1
126;222;220;184;land;true;plains;1
127;238;150;166;land;false;plains;1
128;226;143;210;land;false;plains;1
129;203;195;235;land;false;plains;1
130;87;203;251;land;false;plains;1
131;201;140;170;land;true;plains;1
132;213;96;254;land;false;plains;1
